cve,cvss,epss,percentile
CVE-2006-3649,5.1,0.5727300000,0.9729100000
CVE-2006-3650,9.3,0.8228900000,0.9799300000
CVE-2006-3738,10.0,0.9624500000,0.9934200000
CVE-2006-3747,7.6,0.9740800000,0.9989900000
CVE-2006-3864,9.3,0.8183800000,0.9798000000
CVE-2006-3867,5.1,0.6379700000,0.9745000000
CVE-2006-3868,5.1,0.6934300000,0.9760400000
CVE-2006-3875,5.1,0.6379700000,0.9745000000
CVE-2006-3877,9.3,0.0645000000,0.9284800000
CVE-2006-3918,4.3,0.9739200000,0.9988500000
CVE-2006-4154,6.8,0.9265600000,0.9867900000
CVE-2006-4339,4.3,0.0733600000,0.9326900000
CVE-2006-4343,4.3,0.0178000000,0.8660000000
CVE-2006-4650,2.6,0.1457500000,0.9508500000
CVE-2006-4695,9.3,0.8029500000,0.9792500000
CVE-2006-4924,7.8,0.9394600000,0.9885200000
CVE-2006-4925,5.0,0.0498900000,0.9189300000
CVE-2006-5051,9.3,0.3619600000,0.9664900000
CVE-2006-5052,5.0,0.0153000000,0.8554500000
CVE-2006-5229,2.6,0.0129000000,0.8422800000
CVE-2006-5745,7.6,0.9739400000,0.9988700000
CVE-2006-5752,4.3,0.0016600000,0.5290400000
CVE-2006-5758,7.2,0.0004600000,0.1428400000
CVE-2006-5794,7.5,0.0212400000,0.8789700000
CVE-2006-5857,9.3,0.3698700000,0.9669400000
CVE-2006-6027,9.3,0.9411600000,0.9887200000
CVE-2006-6171,7.5,0.0165900000,0.8612900000
CVE-2006-6236,9.3,0.4969100000,0.9709700000
CVE-2006-6296,6.1,0.9684100000,0.9957400000
CVE-2006-6385,7.2,0.0005000000,0.1686400000
CVE-2006-6563,6.6,0.0004200000,0.0045600000
CVE-2006-6723,7.8,0.9364800000,0.9881400000
CVE-2006-7210,5.0,0.5256600000,0.9717400000
CVE-2006-7243,5.0,0.0082400000,0.7993000000
CVE-2007-0027,9.3,0.9419600000,0.9888800000
CVE-2007-0028,9.3,0.5140000000,0.9714000000
CVE-2007-0029,9.3,0.7435300000,0.9775500000
CVE-2007-0030,9.3,0.9223500000,0.9862500000
CVE-2007-0031,9.3,0.8500400000,0.9812800000
CVE-2007-0045,4.3,0.9668600000,0.9951200000
CVE-2007-0046,7.5,0.9103300000,0.9850500000
CVE-2007-0047,6.8,0.0310500000,0.8987600000
CVE-2007-0048,5.0,0.8732600000,0.9825400000
CVE-2007-0214,9.3,0.7548200000,0.9779000000
CVE-2007-0215,7.6,0.6632100000,0.9751600000
CVE-2007-0243,6.8,0.3782900000,0.9673000000
CVE-2007-0272,8.5,0.0345900000,0.9035000000
CVE-2007-0671,9.3,0.9289500000,0.9871000000
CVE-2007-1036,7.5,0.9709300000,0.9969100000
CVE-2007-1201,9.3,0.9189900000,0.9858900000
CVE-2007-1203,9.3,0.6455700000,0.9747200000
CVE-2007-1747,9.3,0.7621400000,0.9781300000
CVE-2007-1749,9.3,0.9449600000,0.9894600000
CVE-2007-1754,9.3,0.9020900000,0.9842800000
CVE-2007-1756,9.3,0.6811200000,0.9757300000
CVE-2007-1858,2.6,0.0064200000,0.7680900000
CVE-2007-1910,6.8,0.9250500000,0.9865800000
CVE-2007-1912,6.8,0.3143100000,0.9643100000
CVE-2007-2113,7.5,0.0094100000,0.8129000000
CVE-2007-2118,7.5,0.0243100000,0.8868700000
CVE-2007-2165,5.1,0.0378200000,0.9074400000
CVE-2007-2223,9.3,0.9411600000,0.9887300000
CVE-2007-2243,5.0,0.0075100000,0.7882400000
CVE-2007-2586,9.3,0.9127000000,0.9852900000
CVE-2007-2587,6.3,0.0057600000,0.7541000000
CVE-2007-2788,6.8,0.6009900000,0.9736100000
CVE-2007-2789,4.3,0.0181500000,0.8677500000
CVE-2007-2925,5.8,0.0065800000,0.7709900000
CVE-2007-2926,4.3,0.0478100000,0.9175000000
CVE-2007-2930,4.3,0.0213300000,0.8793300000
CVE-2007-3008,4.3,0.0021300000,0.5879000000
CVE-2007-3029,9.3,0.7033300000,0.9763900000
CVE-2007-3030,7.6,0.5721400000,0.9729000000
CVE-2007-3075,7.8,0.0089500000,0.8079100000
CVE-2007-3181,10.0,0.3354900000,0.9651600000
CVE-2007-3282,7.8,0.1358800000,0.9493200000
CVE-2007-3304,4.7,0.0004400000,0.0855300000
CVE-2007-3855,6.5,0.9380900000,0.9883700000
CVE-2007-3865,7.5,0.0147500000,0.8523900000
CVE-2007-3866,7.5,0.0176700000,0.8655600000
CVE-2007-3867,7.5,0.0147500000,0.8523900000
CVE-2007-3890,9.3,0.3026900000,0.9637900000
CVE-2007-3946,6.4,0.1140000000,0.9455500000
CVE-2007-3947,5.8,0.1051100000,0.9433000000
CVE-2007-3948,4.3,0.1076000000,0.9440000000
CVE-2007-3949,8.3,0.0240400000,0.8862300000
CVE-2007-3950,4.3,0.0531300000,0.9215400000
CVE-2007-4465,4.3,0.0035900000,0.6890600000
CVE-2007-4475,9.3,0.9643200000,0.9940800000
CVE-2007-4727,6.8,0.3164700000,0.9643900000
CVE-2007-4752,7.5,0.0187100000,0.8702200000
CVE-2007-4768,6.8,0.0391400000,0.9090700000
CVE-2007-4783,5.0,0.0154300000,0.8561600000
CVE-2007-4814,7.5,0.6721400000,0.9754200000
CVE-2007-4840,5.0,0.0155600000,0.8567900000
CVE-2007-4887,4.3,0.0171600000,0.8634400000
CVE-2007-4909,9.3,0.0740500000,0.9329600000
CVE-2007-5000,4.3,0.5407300000,0.9721100000
CVE-2007-5236,5.4,0.0053400000,0.7439900000
CVE-2007-5237,7.1,0.0063500000,0.7665800000
CVE-2007-5238,2.6,0.0055700000,0.7492600000
CVE-2007-5239,4.0,0.0033600000,0.6785300000
CVE-2007-5333,5.0,0.0349800000,0.9039200000
CVE-2007-5342,6.4,0.0029000000,0.6536600000
CVE-2007-5348,9.3,0.8884200000,0.9833400000
CVE-2007-5381,9.3,0.8835400000,0.9830700000
CVE-2007-5461,3.5,0.0048200000,0.7307700000
CVE-2007-5506,7.8,0.0395500000,0.9094100000
CVE-2007-5507,6.4,0.0457000000,0.9154200000
CVE-2007-5659,9.3,0.9723200000,0.9976900000
CVE-2007-5660,9.3,0.9631100000,0.9936600000
CVE-2007-5663,9.3,0.2284500000,0.9592800000
CVE-2007-5666,6.2,0.0006900000,0.2873300000
CVE-2007-5689,10.0,0.0322000000,0.9004100000
CVE-2007-5925,4.0,0.0316000000,0.8994800000
CVE-2007-5969,7.1,0.0091700000,0.8104100000
CVE-2007-6043,7.1,0.0027500000,0.6433300000
CVE-2007-6203,4.3,0.9715200000,0.9972200000
CVE-2007-6303,3.5,0.0023200000,0.6092400000
CVE-2007-6304,5.0,0.0146300000,0.8518100000
CVE-2007-6388,4.3,0.9595100000,0.9926400000
CVE-2007-6420,4.3,0.0017200000,0.5389600000
CVE-2007-6421,3.5,0.0055300000,0.7485400000
CVE-2007-6422,4.0,0.0077100000,0.7916800000
CVE-2007-6483,5.0,0.0296100000,0.8965600000
CVE-2007-6514,4.3,0.0065500000,0.7705800000
CVE-2007-6750,5.0,0.0229300000,0.8837600000
CVE-2008-0005,4.3,0.0040400000,0.7064800000
CVE-2008-0015,9.3,0.9716700000,0.9973200000
CVE-2008-0020,9.3,0.9555200000,0.9917000000
CVE-2008-0081,9.3,0.5936800000,0.9734500000
CVE-2008-0085,5.0,0.0072500000,0.7841500000
CVE-2008-0086,9.0,0.9617900000,0.9932300000
CVE-2008-0103,9.3,0.5834800000,0.9732100000
CVE-2008-0106,9.0,0.9617900000,0.9932300000
CVE-2008-0107,9.0,0.3495200000,0.9659100000
CVE-2008-0111,9.3,0.8613900000,0.9818500000
CVE-2008-0112,9.3,0.8837500000,0.9830900000
CVE-2008-0113,9.3,0.7488400000,0.9777500000
CVE-2008-0114,9.3,0.8562600000,0.9815400000
CVE-2008-0115,9.3,0.8046600000,0.9793200000
CVE-2008-0116,9.3,0.6445800000,0.9746700000
CVE-2008-0117,9.3,0.7820200000,0.9786900000
CVE-2008-0118,9.3,0.9561500000,0.9918400000
CVE-2008-0119,9.3,0.8149700000,0.9796200000
CVE-2008-0120,9.3,0.9233600000,0.9863900000
CVE-2008-0121,9.3,0.8883900000,0.9833400000
CVE-2008-0226,7.5,0.9743900000,0.9992900000
CVE-2008-0227,7.5,0.3289800000,0.9648700000
CVE-2008-0339,10.0,0.1872000000,0.9560000000
CVE-2008-0340,10.0,0.0120000000,0.8357600000
CVE-2008-0341,10.0,0.0103700000,0.8219300000
CVE-2008-0342,10.0,0.0103700000,0.8219300000
CVE-2008-0343,10.0,0.0120000000,0.8357600000
CVE-2008-0344,10.0,0.0120000000,0.8357600000
CVE-2008-0345,10.0,0.0120000000,0.8357600000
CVE-2008-0346,10.0,0.0120000000,0.8357600000
CVE-2008-0347,10.0,0.0096700000,0.8155100000
CVE-2008-0348,10.0,0.0120000000,0.8357600000
CVE-2008-0349,10.0,0.0120000000,0.8357600000
CVE-2008-0456,2.6,0.0053600000,0.7445600000
CVE-2008-0599,10.0,0.1008700000,0.9422700000
CVE-2008-0655,9.3,0.9530400000,0.9910900000
CVE-2008-0667,4.3,0.0151200000,0.8544300000
CVE-2008-0726,9.3,0.0961900000,0.9407500000
CVE-2008-1083,9.3,0.5803100000,0.9731100000
CVE-2008-1086,9.3,0.9311600000,0.9873700000
CVE-2008-1087,9.3,0.6516100000,0.9748700000
CVE-2008-1091,9.3,0.7593200000,0.9780300000
CVE-2008-1093,9.3,0.0044100000,0.7188700000
CVE-2008-1153,7.1,0.0169000000,0.8624000000
CVE-2008-1232,4.3,0.0196600000,0.8736900000
CVE-2008-1270,5.0,0.0275900000,0.8935100000
CVE-2008-1434,9.3,0.9203300000,0.9860000000
CVE-2008-1455,6.8,0.9118500000,0.9852100000
CVE-2008-1468,4.3,0.0032900000,0.6752500000
CVE-2008-1483,6.9,0.0004500000,0.1274300000
CVE-2008-1657,6.5,0.0045000000,0.7216600000
CVE-2008-1663,4.3,0.0024000000,0.6156600000
CVE-2008-1678,5.0,0.1323900000,0.9488000000
CVE-2008-1811,5.5,0.0019200000,0.5661300000
CVE-2008-1812,10.0,0.0073600000,0.7859900000
CVE-2008-1813,6.5,0.0084500000,0.8017400000
CVE-2008-1814,9.0,0.0018800000,0.5585200000
CVE-2008-1815,5.5,0.0016400000,0.5270100000
CVE-2008-1816,5.5,0.0017100000,0.5382900000
CVE-2008-1817,9.0,0.0033800000,0.6793400000
CVE-2008-1818,10.0,0.0073600000,0.7859900000
CVE-2008-1819,7.2,0.0008100000,0.3385800000
CVE-2008-1820,4.0,0.0177300000,0.8657500000
CVE-2008-1821,9.0,0.0153300000,0.8556600000
CVE-2008-1822,10.0,0.0073600000,0.7859900000
CVE-2008-1823,10.0,0.0073600000,0.7859900000
CVE-2008-1824,10.0,0.0068600000,0.7771400000
CVE-2008-1825,10.0,0.0073600000,0.7859900000
CVE-2008-1826,10.0,0.0074400000,0.7871200000
CVE-2008-1827,10.0,0.0080500000,0.7969300000
CVE-2008-1828,9.0,0.0041200000,0.7089100000
CVE-2008-1829,9.0,0.0045900000,0.7243500000
CVE-2008-1830,9.0,0.0045900000,0.7243500000
CVE-2008-1831,10.0,0.0093300000,0.8122000000
CVE-2008-1947,4.3,0.1525900000,0.9518600000
CVE-2008-2042,9.3,0.0247400000,0.8879200000
CVE-2008-2050,10.0,0.0222800000,0.8820200000
CVE-2008-2051,10.0,0.0166700000,0.8615000000
CVE-2008-2079,4.6,0.0004400000,0.0841200000
CVE-2008-2086,9.3,0.4833500000,0.9704900000
CVE-2008-2107,7.5,0.0189700000,0.8712600000
CVE-2008-2108,7.5,0.0189700000,0.8712600000
CVE-2008-2168,4.3,0.0225700000,0.8828000000
CVE-2008-2249,9.3,0.9406800000,0.9886600000
CVE-2008-2281,9.3,0.9610500000,0.9930400000
CVE-2008-2364,5.0,0.0069100000,0.7779000000
CVE-2008-2370,5.0,0.0114000000,0.8308600000
CVE-2008-2549,4.3,0.3072900000,0.9640300000
CVE-2008-2587,1.5,0.0007200000,0.3008600000
CVE-2008-2590,3.5,0.0015900000,0.5205200000
CVE-2008-2591,6.5,0.0042600000,0.7134900000
CVE-2008-2592,5.5,0.0023400000,0.6104000000
CVE-2008-2600,6.5,0.0042600000,0.7134900000
CVE-2008-2602,4.6,0.0042600000,0.7134900000
CVE-2008-2603,3.5,0.0015400000,0.5137700000
CVE-2008-2604,6.5,0.0042600000,0.7134900000
CVE-2008-2605,4.0,0.0023600000,0.6125400000
CVE-2008-2607,6.5,0.8880600000,0.9833300000
CVE-2008-2608,4.0,0.0069900000,0.7796100000
CVE-2008-2611,4.0,0.0069900000,0.7796100000
CVE-2008-2613,6.5,0.0006600000,0.2757800000
CVE-2008-2623,2.1,0.0006200000,0.2463700000
CVE-2008-2624,6.5,0.0031400000,0.6667900000
CVE-2008-2625,4.0,0.0035400000,0.6869400000
CVE-2008-2641,10.0,0.2865500000,0.9628300000
CVE-2008-2665,5.0,0.0045600000,0.7232800000
CVE-2008-2666,5.0,0.0050200000,0.7360100000
CVE-2008-2829,5.0,0.0098700000,0.8174000000
CVE-2008-2992,9.3,0.9737300000,0.9986900000
CVE-2008-3003,6.6,0.0004200000,0.0045600000
CVE-2008-3004,9.3,0.9673500000,0.9953300000
CVE-2008-3005,9.3,0.4709100000,0.9700500000
CVE-2008-3006,9.3,0.5749000000,0.9729700000
CVE-2008-3007,9.3,0.8825300000,0.9830000000
CVE-2008-3012,9.3,0.9194100000,0.9859300000
CVE-2008-3013,9.3,0.8193200000,0.9798400000
CVE-2008-3014,9.3,0.8434100000,0.9808900000
CVE-2008-3015,9.3,0.7587500000,0.9780000000
